date,symbol,open,high,low,close,volume
2025-01-06,GOOGL,193.98,198.2222,193.85,196.87,29563638
2025-01-07,GOOGL,197.11,201,194.6,195.49,26487244
2025-01-08,GOOGL,192.57,196.29,192.38,193.95,24864766
2025-01-10,GOOGL,194.295,196.52,190.31,192.04,26665206
2025-01-13,GOOGL,190.07,191.18,187.36,191.01,21823699
2025-01-14,GOOGL,191.24,191.98,188.3082,189.66,17174854
2025-01-15,GOOGL,193.09,196.36,191.86,195.55,21775969
2025-01-16,GOOGL,194.14,195.48,192.81,192.91,17815432
2025-01-17,GOOGL,196.53,197.23,193.75,196,27735089
2025-01-21,GOOGL,199.07,202.29,197.87,198.05,29971292
2025-01-22,GOOGL,199.06,200.48,197.53,198.37,26200617
2025-01-23,GOOGL,198.14,200.3,195.2,197.98,26951357
2025-01-24,GOOGL,198.1,200.9,198,200.21,23877521
2025-01-27,GOOGL,192.41,196.88,190.73,191.81,41728893
2025-01-28,GOOGL,192.745,195.48,190.68,195.3,24157929
2025-01-29,GOOGL,195.555,196.785,193.43,195.41,18218256
2025-01-30,GOOGL,198,201.4,197.67,200.87,24354684
2025-01-31,GOOGL,202,205.48,201.8,204.02,32041952
2025-02-03,GOOGL,200.69,203.75,200.1,201.23,27838348
2025-02-04,GOOGL,203.39,207.05,202.81,206.38,43856425
2025-02-05,GOOGL,191.07,192.75,188.03,191.33,70461770
2025-02-06,GOOGL,189.5,192.1,188.72,191.6,29297442
2025-02-07,GOOGL,191.05,191.18,183.24,185.34,49314961
2025-02-10,GOOGL,187.35,188.2,185.86,186.47,23105649
2025-02-11,GOOGL,185.03,186.94,184.28,185.32,21239519
2025-02-12,GOOGL,183.22,185.11,181.83,183.61,22072559
2025-02-13,GOOGL,184.32,186.28,183.14,186.14,21402523
2025-02-14,GOOGL,185.055,186.4,184.32,185.23,20448437
2025-02-18,GOOGL,185.6,185.96,181.7401,183.77,29916675
2025-02-19,GOOGL,184.07,185.46,183.59,185.27,19549396
2025-02-20,GOOGL,184.8,185.31,182.72,184.56,20441462
2025-02-21,GOOGL,185.15,185.34,179.08,179.66,35199239
2025-02-24,GOOGL,181.99,183.12,178.885,179.25,29854206
